time,zeta,u_star,L,Ri_g,regime,neutral_transition,phi_m,phi_h,phi_q1,phi_q2,phi_obs
2640,0.04545879010060907,0.54347,365.1659,0.09224082143692897,near_neutral,false,2.884636175358754,16.8844679608516,17.931599661335884,-7.184432265493125,2.884636175358754
2641,0.04926049901479003,0.48082,336.984,0.09864444606399987,near_neutral,false,3.0721592510941953,18.899977197795664,-21.12426403735042,-8.029293065165458,3.0721592510941953
2642,0.059095111445904305,0.44527,280.9031,0.1093529947182052,near_neutral,false,3.2964675615045054,20.10836399019713,-1.6178769086134641,-9.042370227744367,3.2964675615045054
2643,0.04751219288805441,0.50708,349.384,0.10470991841872344,near_neutral,false,2.9554559657472415,19.250044239166495,-0.7562179898169518,-8.180831567934566,2.9554559657472415
2644,0.04917242220982051,0.44574,337.5876,0.10992397560225987,near_neutral,false,3.236208826271419,23.412290335218636,-1.2769195002646678,-16.374361722483247,3.236208826271419
2645,0.03141045230105216,0.48789,528.4865,0.08517064530716291,near_neutral,false,3.3118833707962403,29.74170191953121,-2.011254982281724,-21.616154775784647,3.3118833707962403
2647,0.0036594635490976558,0.50143,4536.184,0.08093437197063955,near_neutral,false,2.8315622874135524,177.32412045592832,1.4334229680267865,31.819363093147285,2.8315622874135524
2682,0.014508752011341301,0.49636,1144.137,0.03829908782252552,near_neutral,false,3.5313422829308476,32.918345702952685,0.638122784924745,-65.02613168073692,3.5313422829308476
2683,0.019248666566017016,0.52761,862.3974,0.039523319505852646,near_neutral,false,3.43883087044513,24.281437672765332,0.7797814016542551,-29.58625289643316,3.43883087044513
2684,0.04564959371861591,0.48423,363.6396,0.05656980844704461,near_neutral,false,3.400012390806022,14.325467081197635,1.287516968978356,-13.728627543076417,3.400012390806022
2685,0.022702500147019206,0.56792,731.197,0.04631927293556565,near_neutral,false,3.273148409009093,21.85845395370164,1.3506273922942917,-12.347592406927621,3.273148409009093
2686,0.06354091307526535,0.4428,261.249,0.057695443420930616,near_neutral,false,3.972636755997189,14.329986366172523,-2.1991661025909677,-10.05984852450669,3.972636755997189
2687,0.06395891833910249,0.41856,259.5416,0.07828859034190165,near_neutral,false,3.747519272426096,17.1903655821153,-3.2126537320491217,-7.520197295279317,3.747519272426096
2688,0.06531786585284279,0.47388,254.1418,0.06598684841482044,near_neutral,false,3.694717485908293,13.790749569334773,-1.1587263109267576,-5.415647750213542,3.694717485908293
2689,0.07749690595937202,0.42675,214.2021,0.06125445702996286,near_neutral,false,4.359328776931589,15.020783258579756,-0.8956770395799937,-6.4237074406864085,4.359328776931589
2690,0.07466311642048828,0.38598,222.332,0.0518408990340479,near_neutral,false,5.345737401477336,19.84182675875261,-1.401862355964425,-13.521108300748265,5.345737401477336
2691,0.057412567749423896,0.44833,289.1353,0.04424379467696135,near_neutral,false,4.925176395363534,18.693429140194223,-0.7611391049397468,-6.520937704983691,4.925176395363534
2692,0.04073798579127771,0.47599,407.4821,0.04805179003463488,near_neutral,false,4.503987712160153,23.92789048714531,-1.2729784369094148,-9.040130798422535,4.503987712160153
2693,0.03864539959110374,0.46788,429.5466,0.05436995859065147,near_neutral,false,4.295937704824599,25.964331784068605,-1.6655438523541157,-37.875857360440705,4.295937704824599
2694,0.002016718842179845,0.56649,8231.192,0.03008166324430488,near_neutral,false,4.289166034116517,274.41143540082766,2.2009003489940144,33.316299453931435,4.289166034116517
2726,0.017702325584371365,0.47724,937.7299,0.04977426483719297,near_neutral,false,3.2045019277512363,28.873245563814496,0.3470159707620135,102.72642764507381,3.2045019277512363
2727,0.002450808146604391,0.65812,6773.276,0.029676411386532982,near_neutral,false,2.595911502123894,81.59843568409553,0.36755815053691876,119.17188705809747,2.595911502123894
2728,0.008320685223465536,0.61912,1995.028,0.03452212121475872,near_neutral,false,2.938704487372759,35.83028087986954,0.3830956549467416,-10.183102917349874,2.938704487372759
2729,0.010370521231143301,0.63451,1600.691,0.03631297691515709,near_neutral,false,2.9071053078578566,29.592577711067936,0.5853787171409444,-6.486360870865142,2.9071053078578566
2730,0.010759016185189891,0.7401,1542.892,0.033643670195011716,near_neutral,false,2.708886036421505,22.946279285829988,0.5085453849147259,-4.89052415888113,2.708886036421505
2731,0.01725235824667401,0.65241,962.1873,0.04149664558969692,near_neutral,false,2.9949569885331138,21.574746592279737,1.9429870240010585,-6.517482618898906,2.9949569885331138
2732,0.03542137351283577,0.57249,468.6436,0.0521239818259541,near_neutral,false,3.08687264794533,14.021988685016213,0.37780089825785834,-3.860180360367849,3.08687264794533
2733,0.04218541812737913,0.56947,393.5009,0.05124739755712637,near_neutral,false,3.309729514577882,13.30743837001457,0.7842779838894932,-4.447399102336119,3.309729514577882
2734,0.04489126578225465,0.8606,369.7824,0.02980832787273748,near_neutral,false,2.959566065019237,5.8160996818869615,0.12638191881842537,-11.186570437496599,2.959566065019237
2735,0.6795508414558763,0.28222,24.4279,0.25680050275237715,strongly_stable,false,4.7064801691351885,8.370788737212344,0.22433082151894798,-4.2270394419768476,4.7064801691351885
2736,0.7685583696932434,0.20404,21.59888,0.2489346758354127,weakly_stable,false,6.502267801520399,13.69424977594279,0.2749404915447893,-5.113906445542949,6.502267801520399
2737,0.3952141000963037,0.24542,42.00255,0.19544590447574803,weakly_stable,false,5.7958859641974305,16.612454626848322,-0.11714201460021227,-6.135767772952265,5.7958859641974305
2738,0.3311637453103423,0.24008,50.12626,NaN,strongly_stable,false,NaN,17.35788125619927,0.4624603722230073,-3.9675624258077353,NaN
2739,0.2661155403139394,0.25798,62.37892,0.17708379092901552,weakly_stable,false,4.786060934956198,15.24280947048601,-3.770612505381541,-5.109100361439971,4.786060934956198
2740,0.22864056381110218,0.39585,72.60304,0.11867453918025107,weakly_stable,false,3.796568846224019,7.481468143164305,0.20713356209516845,-8.329512577111617,3.796568846224019
2741,0.1356799979075856,0.41366,122.3467,0.09457378477517467,weakly_stable,false,3.9662176935432747,10.964984865063743,0.5958837962040169,-10.254474618865059,3.9662176935432747
2742,0.11228051189091205,0.37224,147.844,0.09050608480929817,weakly_stable,false,4.20280777634501,14.23811343319649,0.5863313593391958,34.21504868915225,4.20280777634501
2743,0.12274692836903349,0.36323,135.2376,0.08733817592957885,weakly_stable,false,4.04482406311275,11.64106612449453,0.4366881794892799,-8.567398309441074,4.04482406311275
2744,0.09330292931853452,0.38156,177.9151,0.08079275419136472,near_neutral,false,4.00274559993477,13.87372596126356,0.8160427910458292,-5.218139153581963,4.00274559993477
2745,0.029016520013795087,0.46862,572.0879,0.058587699355181225,near_neutral,false,3.2615773737546174,21.479120272962295,0.2519229384297789,-139.9415055024601,3.2615773737546174
2746,0.03328349497549553,0.46976,498.7457,0.07445832260414006,near_neutral,false,2.8296846616712084,17.912673336155994,0.227385902458287,21.820529301823747,2.8296846616712084
2747,0.02331474099780631,0.49659,711.9959,0.05435524052765462,near_neutral,false,2.997644714732252,20.949378495775246,0.22543671061820786,14.317816229040554,2.997644714732252
2751,0.0002296880048206808,0.66266,72271.95,0.0025093447418475614,near_neutral,false,2.646959811802265,76.54497931296284,0.19493867835653592,5.863957580693976,2.646959811802265
2752,0.0009017147246212121,0.66122,18409.37,0.008293222915409305,near_neutral,false,2.58574251635865,61.49286537940211,0.20446274094213618,5.144435406281859,2.58574251635865
2770,0.017566568830049586,0.48213,944.9768,0.01971093447609142,near_neutral,false,2.949406798996121,9.760894677326231,0.18789559935245564,-12.091295071932295,2.949406798996121
2771,0.36332970222504424,0.24284,45.68853,NaN,strongly_stable,false,NaN,8.219618394008485,0.20677151199891539,-5.983097576282013,NaN
2772,0.14773625340861357,0.25667,112.3624,NaN,weakly_stable,false,NaN,16.287539718636985,0.38603774264573454,-14.822815109266296,NaN
2775,0.03400056367199534,0.21783,488.2272,NaN,near_neutral,false,NaN,45.13888764317451,0.3023482904878849,-3.5676769485161945,NaN
2776,0.041501276164242054,0.57394,399.9877,0.04681736223798149,near_neutral,false,2.9234849364819393,9.641557833199423,0.22844057796955736,-4.894815974561632,2.9234849364819393
2783,0.007273176568629213,0.46273,2282.359,0.0626802484327314,near_neutral,false,3.750552397966656,121.22635655898975,-1.1261993177412846,-6.696743239929227,3.750552397966656
2788,0.00028983533511774123,0.56052,57273.9,0.09572690750765557,near_neutral,false,3.2586929200662875,3507.273001157469,-3.3782106855147207,-5.401604028916853,3.2586929200662875
2826,0.0011303459062752584,0.39543,14685.77,1.5599951629057125,near_neutral,false,3.3306628227499173,15309.93069742631,-0.7851821716707243,-5.687849122536779,3.3306628227499173
2834,0.004143126553048493,0.29509,4006.636,0.1598427078051443,near_neutral,false,3.4011495551263082,446.28890192207876,1.9261536753601713,-4.352059034055286,3.4011495551263082
2880,0.003633335989024699,0.40909,4568.804,0.27737903794179347,near_neutral,false,2.002292350773125,306.0716137802996,6.547174168733706,-5.936587566403698,2.002292350773125
2883,0.004290019811621613,0.56342,3869.446,0.1790820211643105,near_neutral,false,2.068100765562694,178.54022603500044,-0.7515729917861315,-7.748058276272752,2.068100765562694
2887,0.003750680940643667,0.50353,4425.863,0.20098385522801765,near_neutral,false,2.030636153202832,220.96082309990524,5.958804949940095,-9.90941424410679,2.030636153202832
2916,3.731171351796638e-5,0.95626,444900.5,0.0038253642344890583,near_neutral,false,2.295728265441523,540.3417955635663,0.8304092939395988,14.798698829798226,2.295728265441523
2917,0.0020678645748015757,0.78742,8027.605,0.030522117307538163,near_neutral,false,2.6274525948315035,101.89722154427413,0.5802311263461021,NaN,2.6274525948315035
2918,8.753049066640232e-5,0.75812,189648.2,0.014048729660201124,near_neutral,false,2.4646562842587216,974.9681231737628,1.5570245324058625,NaN,2.4646562842587216
2919,0.001548169522697471,1.07905,10722.34,0.036828063237086685,near_neutral,false,1.9367820459354679,89.23225486325705,0.8698111816917012,NaN,1.9367820459354679
2920,0.0032380867666806333,0.94851,5126.484,0.03622882788888604,near_neutral,false,2.3989532705682244,64.38865873921368,2.697154347213399,NaN,2.3989532705682244
2921,0.004287631912482717,0.96835,3871.601,0.039193992376900647,near_neutral,false,2.3082602709075575,48.70477736911116,0.9095598156309112,NaN,2.3082602709075575
2922,0.0029916728767908365,0.83726,5548.735,0.04727397232164398,near_neutral,false,2.4857626198685123,97.63989381350908,-15.009786128582023,NaN,2.4857626198685123
2923,0.0037031146093894486,0.92141,4482.713,0.03582914803942839,near_neutral,false,2.5839207181264463,64.59928279809509,-1.7206772925731701,NaN,2.5839207181264463
2924,0.002743153271210276,0.9453,6051.43,0.044314096150503794,near_neutral,false,2.289468128871492,84.67613486930996,-1.6205692908575118,NaN,2.289468128871492
2925,0.0030938967853666884,0.86614,5365.402,0.04669972272968404,near_neutral,false,2.4230666456282406,88.62152103215833,-6.062346048480385,NaN,2.4230666456282406
2926,0.001953301043462831,0.94759,8498.434,0.04581440899364313,near_neutral,false,2.2571520031518557,119.49631694510367,-2.6606773200780585,NaN,2.2571520031518557
2927,0.002602864499421333,0.72521,6377.589,0.0432534622499321,near_neutral,false,2.9836694811770994,147.93493343374408,6.189837484112501,NaN,2.9836694811770994
2928,0.0026984213422370402,0.87052,6151.745,0.05340225891772007,near_neutral,false,2.248067630075511,100.01579917036453,6.465997037283875,NaN,2.248067630075511
2929,0.003099003838284272,0.78113,5356.56,0.049897835289796535,near_neutral,false,2.5785575597745147,107.05655197210254,19.115856935469054,NaN,2.5785575597745147
2930,0.002303409226042012,0.79736,7206.709,0.0533911908379545,near_neutral,false,2.484573258419451,143.08763929587835,-3.195946547283712,NaN,2.484573258419451
2931,0.0015963564606276952,0.78802,10398.68,0.05754974700050513,near_neutral,false,2.4307604290923237,213.00895413231854,-6.785965261588023,NaN,2.4307604290923237
2932,0.001672705873817518,0.81504,9924.04,0.06097033151953985,near_neutral,false,2.2691210792653664,187.6784098020446,4.259875454968245,NaN,2.2691210792653664
2935,0.001365698748246599,0.73051,12154.95,0.06851016253524918,near_neutral,false,2.445143119190703,299.92222907940754,-6.680619571964342,NaN,2.445143119190703
2937,0.0006453431301085616,0.71667,25722.75,0.08088461750881625,near_neutral,false,2.335203789749815,683.478438394977,-1.9916974389777167,NaN,2.335203789749815
2968,0.00011310552336514824,0.35966,146765.6,0.0033148817604537963,near_neutral,false,2.266734323157056,150.58630258471106,0.1763661998282407,NaN,2.266734323157056
2969,0.010435939363420273,0.24741,1590.657,0.31369452534656267,near_neutral,false,2.3664630011362155,168.33515761663045,0.5109425503863497,NaN,2.3664630011362155
2970,0.12185963678487298,0.22812,136.2223,0.41113082156912245,strongly_stable,false,2.6720269059169635,24.08805924472855,0.23476515378144241,NaN,2.6720269059169635
2971,0.12624457376485657,0.18611,131.4908,0.5999380883570699,strongly_stable,false,2.7975378957486314,37.19166925624586,0.32358250744438644,NaN,2.7975378957486314
2972,0.41151192207054954,0.09774,40.33905,NaN,strongly_stable,false,NaN,51.12396281947282,0.7615117879381939,NaN,NaN
2973,2.31859119047087,0.04655,7.15952,NaN,strongly_stable,false,NaN,46.09954650897783,0.619175299128678,NaN,NaN
2974,0.9685744276512829,0.04953,17.13859,NaN,strongly_stable,false,NaN,96.76781385833057,0.9785914501041539,NaN,NaN
2975,0.2538460350396222,0.17472,65.39397,0.3704304411427773,strongly_stable,false,4.522462288868539,29.846003993906578,0.5041113550322878,NaN,4.522462288868539
2976,0.16322115975516827,0.22969,101.7025,0.2667115470583439,strongly_stable,false,3.8291956308260895,23.95964994028266,0.43657740131993833,NaN,3.8291956308260895
