VAR_META.WS1,VAR_META.WS2,VAR_META.WS3,VAR_META.WS4,VAR_META.WS0,VAR_META.WDIR,datetime,season_year,season_date,target_doy,group_name
,,,,,95.65,2024-01-15T04:22:00.0,2024,2024-01-15,15,wind_profile
,,,,,66.9,2024-01-15T04:23:00.0,2024,2024-01-15,15,wind_profile
,,,,,96.58,2024-01-15T04:24:00.0,2024,2024-01-15,15,wind_profile
,,,,,102.6,2024-01-15T04:25:00.0,2024,2024-01-15,15,wind_profile
,,,,,94.64,2024-01-15T04:26:00.0,2024,2024-01-15,15,wind_profile
,,,,,101.6,2024-01-15T04:27:00.0,2024,2024-01-15,15,wind_profile
,,,,,102.6,2024-01-15T04:28:00.0,2024,2024-01-15,15,wind_profile
,,,,,54.0,2024-01-15T04:29:00.0,2024,2024-01-15,15,wind_profile
,,,,,100.6,2024-01-15T04:30:00.0,2024,2024-01-15,15,wind_profile
,,,,,105.6,2024-01-15T04:31:00.0,2024,2024-01-15,15,wind_profile
,,,,,106.5,2024-01-15T04:32:00.0,2024,2024-01-15,15,wind_profile
,,,,,96.39,2024-01-15T04:33:00.0,2024,2024-01-15,15,wind_profile
,,,,,96.48,2024-01-15T04:34:00.0,2024,2024-01-15,15,wind_profile
,,,,,116.5,2024-01-15T04:35:00.0,2024,2024-01-15,15,wind_profile
,,,,,101.6,2024-01-15T04:36:00.0,2024,2024-01-15,15,wind_profile
,,,,,112.4,2024-01-15T04:37:00.0,2024,2024-01-15,15,wind_profile
,,,,,79.71,2024-01-15T04:38:00.0,2024,2024-01-15,15,wind_profile
,,,,,106.6,2024-01-15T04:39:00.0,2024,2024-01-15,15,wind_profile
,,,,,95.65,2024-01-15T04:40:00.0,2024,2024-01-15,15,wind_profile
,,,,,88.65,2024-01-15T04:41:00.0,2024,2024-01-15,15,wind_profile
,,,,,89.66,2024-01-15T04:42:00.0,2024,2024-01-15,15,wind_profile
,,,,,101.6,2024-01-15T04:43:00.0,2024,2024-01-15,15,wind_profile
,,,,,110.5,2024-01-15T04:44:00.0,2024,2024-01-15,15,wind_profile
,,,,,95.65,2024-01-15T04:45:00.0,2024,2024-01-15,15,wind_profile
,,,,,82.94,2024-01-15T04:46:00.0,2024,2024-01-15,15,wind_profile
,,,,,78.61,2024-01-15T04:47:00.0,2024,2024-01-15,15,wind_profile
